cva,Scr_1,Scr_2,fcr_1,fcr_2,regr_1,regr_2,coherence,r2Sr_1,r2Sr_2,fraction_exogenous
0,220,165,0.0226,0.0229,9740,7210,3.68e-06,0.936,0.925,0
0.01,162,137,0.0226,0.0226,7150,6040,0.000251,0.932,0.943,0.0268
0.02,123,105,0.0223,0.0225,5550,4660,0.000423,0.937,0.952,0.0485
0.03,100,93,0.0216,0.0222,4660,4190,0.000511,0.95,0.951,0.0666
0.04,87.1,82.8,0.021,0.0212,4160,3920,0.000574,0.958,0.963,0.0802
0.05,78.7,77.4,0.0204,0.0205,3860,3780,0.000619,0.964,0.964,0.0927
0.06,72.8,73,0.0199,0.02,3670,3650,0.000649,0.968,0.965,0.103
0.07,69.3,69.4,0.0192,0.0195,3600,3560,0.000672,0.971,0.966,0.111
0.08,67.2,64.1,0.0187,0.0191,3590,3350,0.000687,0.972,0.97,0.121
0.09,62.2,61.5,0.0185,0.0187,3360,3300,0.000697,0.973,0.97,0.126
0.1,61.7,61.7,0.0177,0.0179,3480,3440,0.000706,0.975,0.971,0.127
0.11,60.1,60.2,0.0172,0.0174,3490,3460,0.000711,0.976,0.972,0.129
0.12,58.9,58.6,0.0168,0.017,3500,3450,0.000715,0.976,0.972,0.131
0.13,57.4,57.5,0.0164,0.0165,3490,3480,0.000719,0.976,0.973,0.132
0.14,54.6,56.3,0.0162,0.0161,3380,3490,0.000722,0.976,0.972,0.133
0.15,55.3,55.5,0.0156,0.0157,3540,3530,0.000724,0.976,0.972,0.132
0.16,54.8,55,0.0152,0.0153,3600,3600,0.000725,0.976,0.972,0.131
0.17,54,54.4,0.015,0.0149,3610,3650,0.000727,0.975,0.972,0.131
0.18,53.4,54,0.0146,0.0145,3650,3720,0.000728,0.975,0.972,0.129
0.19,53,53.4,0.0143,0.0141,3710,3780,0.000729,0.974,0.972,0.127
0.2,52.7,53.1,0.014,0.0138,3770,3850,0.000729,0.974,0.971,0.125
0.21,52.2,52.8,0.0137,0.0135,3810,3920,0.000729,0.972,0.97,0.123
0.22,51.9,52.6,0.0135,0.0132,3850,3990,0.000728,0.971,0.97,0.121
0.23,51.7,52.5,0.0132,0.0129,3910,4070,0.000727,0.97,0.969,0.118
0.24,51.5,52.5,0.013,0.0126,3970,4150,0.000726,0.969,0.969,0.116
0.25,51.6,52.5,0.0127,0.0124,4060,4250,0.000724,0.969,0.968,0.114
0.26,50.1,52.6,0.0124,0.0121,4030,4340,0.000722,0.966,0.968,0.111
0.27,51.3,52.6,0.0122,0.0119,4200,4430,0.000719,0.967,0.967,0.109
0.28,51.3,52.6,0.012,0.0116,4290,4520,0.000716,0.966,0.966,0.107
0.29,51.2,52.6,0.0118,0.0114,4340,4610,0.000713,0.965,0.966,0.105
0.3,51.1,52.7,0.0116,0.0112,4430,4710,0.00071,0.964,0.965,0.102
0.31,51.3,52.9,0.0113,0.011,4550,4830,0.000706,0.963,0.965,0.0999
0.32,50.2,53,0.011,0.0107,4570,4930,0.000702,0.961,0.964,0.0977
0.33,51.2,53,0.0108,0.0105,4730,5050,0.000698,0.961,0.963,0.0957
0.34,51.2,53.2,0.0106,0.0103,4830,5170,0.000694,0.96,0.963,0.0936
0.35,51.2,53.4,0.0104,0.0101,4940,5300,0.000689,0.959,0.962,0.0918
0.36,51.4,53.5,0.0101,0.00987,5070,5420,0.000685,0.959,0.962,0.0897
0.37,51.5,53.7,0.00996,0.00969,5180,5550,0.00068,0.958,0.961,0.0878
0.38,51.7,53.9,0.00977,0.0095,5290,5680,0.000676,0.957,0.96,0.086
0.39,51.8,54.1,0.00957,0.00932,5420,5810,0.000671,0.956,0.959,0.0842
0.4,52.1,54.3,0.00934,0.00914,5580,5940,0.000666,0.955,0.959,0.0823
0.41,52.2,54.5,0.00917,0.00896,5690,6080,0.000661,0.954,0.958,0.0804
0.42,52.4,54.2,0.009,0.0087,5820,6240,0.000657,0.953,0.957,0.0815
0.43,51.9,55.2,0.00872,0.00862,5960,6400,0.00065,0.95,0.957,0.077
0.44,52.8,55.6,0.00868,0.00846,6080,6570,0.000643,0.951,0.957,0.0755
0.45,53,55.9,0.00852,0.00829,6220,6740,0.000638,0.95,0.956,0.074
0.46,53.3,56.2,0.00836,0.00813,6380,6920,0.000632,0.95,0.955,0.0726
0.47,53.7,56.7,0.0082,0.00799,6540,7090,0.000626,0.949,0.955,0.071
0.48,53.6,57.1,0.00788,0.00785,6800,7270,0.000619,0.947,0.955,0.0696
0.49,54.4,57.6,0.00785,0.00771,6930,7470,0.000612,0.947,0.955,0.0683
0.5,54.8,58,0.00771,0.00758,7110,7660,0.000606,0.947,0.955,0.0669
